old_id,slug,title,status,reason,edit_link
652,devoirs-semaine-6,"Devoirs – Semaine 6",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=652&amp;action=edit
651,devoirs-semaine-5,"Devoirs – Semaine 5",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=651&amp;action=edit
650,devoirs-semaine-4,"Devoirs – Semaine 4",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=650&amp;action=edit
649,devoirs-semaine-3,"Devoirs – Semaine 3",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=649&amp;action=edit
648,devoirs-semaine-2,"Devoirs – Semaine 2",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=648&amp;action=edit
646,devoirs-semaine-1,"Devoirs – Semaine 1",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=646&amp;action=edit
543,4-3-ajout-de-distractions,"4.3 Ajout de distractions",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=543&amp;action=edit
486,3-introduction-de-nouveaux-contenants,"3.5 Introduction de nouveaux contenants",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=486&amp;action=edit
453,2-2-developpement-de-valeur-a-lodeur,"2.2 Développement de valeur à l’odeur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=453&amp;action=edit
435,2-5-generalisation-de-la-recherche-des-contenants,"2.5 Généralisation de la recherche des contenants",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=435&amp;action=edit
434,2-4-que-faire-lors-des-fausses-alertes,"2.4 Que faire lors des fausses alertes",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=434&amp;action=edit
433,2-3-livraison-de-la-recompense,"2.3 - Livraison de la récompense",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=433&amp;action=edit
432,2-2-developpement-de-la-valeur-a-lodeur,"2.2 Développement de la valeur à l'odeur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=432&amp;action=edit
378,1-quest-ce-que-la-detection-dodeur-et-methode-utilisee,"1.	Qu’est-ce que la détection d’odeur et méthode utilisée",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=378&amp;action=edit
303,la-queue,"La queue",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=303&amp;action=edit
299,les-signaux-de-stress-ou-dits-dapaisement,"Les signaux de stress ou dits « d’apaisement »",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=299&amp;action=edit
298,autres-nuances-en-langage-canin,"Autres nuances en langage canin",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=298&amp;action=edit
297,le-poil,"Le poil",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=297&amp;action=edit
296,les-oreilles,"Les oreilles",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=296&amp;action=edit
295,la-bouche,"La bouche",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=295&amp;action=edit
294,les-yeux,"Les yeux",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=294&amp;action=edit
241,apprendre-a-masser-son-chien,"Apprendre à masser son chien",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=241&amp;action=edit
240,ajout-de-distractions-pour-la-commande-reste,"Ajout de distractions pour la commande reste",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=240&amp;action=edit
239,effet-du-stress-sur-lapprentissage-et-le-comportement-de-votre-chien,"Effet du stress sur l’apprentissage et le comportement de votre chien",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=239&amp;action=edit
237,nutrition-et-comportement,"Nutrition et comportement",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=237&amp;action=edit
236,entrainer-le-calme,"Entraîner le calme",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=236&amp;action=edit
233,mise-en-contexte-dans-le-monde-reel-pour-les-exercices-pratiques-lors-des-deux-dernieres-semaines-2,"Mise en contexte dans le monde réel pour les exercices pratiqués lors des deux dernières semaines",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=233&amp;action=edit
228,apprendre-a-votre-chien-a-suivre-la-tension-sur-la-laisse,"Apprendre à votre chien à suivre la tension sur la laisse (au lieu de la combattre!)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=228&amp;action=edit
227,apprendre-a-votre-chien-a-revenir-sur-commande,"Apprendre à votre chien à revenir sur commande",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=227&amp;action=edit
225,mise-en-contexte-dans-le-monde-reel-pour-les-exercices-pratiques-lors-des-deux-dernieres-semaines,"Mise en contexte dans le monde réel pour les exercices pratiqués lors des deux dernières semaines",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=225&amp;action=edit
224,apprendre-a-votre-chien-a-toucher-votre-main-avec-son-museau-sur-commande,"Apprendre à votre chien à toucher votre main avec son museau sur commande",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=224&amp;action=edit
222,ajouts-de-difficultes-pour-les-exercices-dautocontroles,"Ajout de difficultés pour les exercices d’autocontrôles",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=222&amp;action=edit
220,apprendre-a-votre-chien-a-se-controler-par-lui-meme-en-presence-de-distractions-auto-controle,"Apprendre à votre chien à se contrôler par lui-même en présence de distractions (auto-contrôle)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=220&amp;action=edit
218,apprendre-a-votre-chien-a-rester-motive-a-vous-offrir-des-comportements-engagement,"Apprendre à votre chien à rester motivé à vous offrir des comportements (engagement)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=218&amp;action=edit
217,apprendre-a-votre-chien-a-vous-regarder,"Apprendre à votre chien à vous regarder (attention)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=217&amp;action=edit
209,en-conclusion,"En conclusion",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=209&amp;action=edit
